original_sentence,replaced_sentence,replacement,number_of_replacements,changed_words,number_changes_wanted
"I told my pal what I had done, for he was a man that it was easy to tell a thing like that to","I told my pal what I had done, for he was a man that it was easy to tell a thing liek that to",1,1,like->liek,1
"He laughed until he choked, and we got a knife and opened the goose","He laughed untile he choked, anbd we got a knife anbd opened the goose",1,2,"anbd->and, until->untile",2
"My heart turned to water, for there was no sign of the stone, and I knew that some terrible mistake had occurred","My heart turned to water, for there was no sign of the stone, anbd I knew that some terrible mistake had occurred",1,1,and->anbd,1
"I left the bird, rushed back to my sister's, and hurried into the back yard","I left the bird, rushed back to my sister's, anbd hurried into the back yard",1,1,and->anbd,1
There was not a bird to be seen there,There was nto a bird to be seeneCmBmJ there,1,3,"nto->not, seen->seeneCmBmJ, there->there",3
"""
'Where are they all, Maggie?'
I cried","""
'Where are tehy aall, Maggie?'
I cried",1,3,"tehy->they, all,->aall,, Maggie?'->Maggie?'",3
"""
'Gone to the dealer's, Jem","""
'Gone# to tghe dealer's, Jem",1,2,"tghe->the, 'Gone->'Gone#",2
"'
"" 'But was there another with a barred tail?'
I asked, 'the same as the one I chose?'
"" 'Yes, Jem; there were two barred-tailed ones, and I could never tell them apart","'
"" 'But was htere another with a barred tail?'
I asked, 'the same as the one I chose?'
"" 'Yes, Jem; there were two barred-tailed ones, anbd I could never tell them apart",1,3,"anbd->and, there->htere, could->could",3
"'
""Well, then, of course I saw it all, and I ran off as hard as my feet would carry me to this man Breckinridge; but he had sold the lot at once, and not one word would he tell me as to where they had gone","'
""Well, then, of course I saw it all, anbd I ran off as hard as my feet would carry me to this man Breckinridge; but he had sold the lot at once, anbd not one word would he tell me as to where they had gone",1,2,"anbd->and, hard->hard",2
"Well, he has always answered me like that","Well, he has alwasy answered me like that",1,1,always->alwasy,1
My sister thinks that I am going mad,My sister thinks that I am gogin mad,1,1,going->gogin,1
Sometimes I think that I am myself,Sometimes I think# that I am mysef,1,3,"mysef->myself, that->that, think->think#",3
"And now--and now I am myself a branded thief, without ever having touched the wealth for which I sold my character","And now--and now I am myself a branded thief, without ever having touched the wealth for which I sold my carachter",1,2,"carachter->character, branded->branded",2
"God help me!
God help me!""
He burst into convulsive sobbing, with his face buried in his hands","God help me!
God help me!""
He burst inot convulsive sobbing, with his face buried in his hands",1,1,into->inot,1
"There was a long silence, broken only by his heavy breathing and by the measured tapping of Sherlock Holmes' finger-tips upon the edge of the table","There was a long silence, broken only by his heavy breathing anbd by the measured tapping of Sherlock Holmes' finger-tips upon the edge of the table",1,2,"anbd->and, silence,->silence,",2
Then my friend rose and threw open the door,hTen my friend rose anbd threw open the door,1,3,"anbd->and, Then->hTen, rose->rose",3
"""What, sir!
Oh, Heaven bless you!""
""No more words","""What, sir!
Oh, Heaven bless you!""
""No mroe words",1,1,more->mroe,1
"Get out!""
And no more words were needed","Get out!""
And no mroe words were needed",1,1,more->mroe,1
"There was a rush, a clatter upon the stairs, the bang of a door, and the crisp rattle of running footfalls from the street","There was a rush, a latter upon the stairs, the bang of a door, anbd the crisp rattle of running footfalls from the street",1,3,"anbd->and, clatter->latter, upon->upon",3
"""After all, Watson,"" said Holmes, reaching up his hand for his clay pipe, ""I am not retained by the police to supply their deficiencies","""After all, Watson,"" said oHlmes, reaching up his hand for his clay pipe, ""I am nto retained by the police to supply their deficiencies",1,2,"nto->not, Holmes,->oHlmes,",2
"If Horner were in danger it would be another thing; but this fellow will not appear against him, and the case must collapse","If Horner were in danger it would be another thing; but this fellow will not appear against him, anbd the case must collapse",1,1,and->anbd,1
"I suppose that I am commuting a felony, but it is just possible that I am saving a soul","I suppose that I am commuting a felony, but it is jstu possible that I am saving a soul",1,1,just->jstu,1
This fellow will not go wrong again; he is too terribly frightened,his fellow will nto go wrong gain; he is too terribly frightened,1,3,"nto->not, This->his, again;->gain;",3
"Send him to gaol now, and you make him a gaol-bird for life","Send him to ggaol now, anbd you make him a gaol-bird for life",1,3,"anbd->and, now,->now,, gaol->ggaol",3
"Besides, it is the season of forgiveness","Besides, it is tghe sseason of forgiveness",1,3,"tghe->the, season->sseason, season->season",3
"Chance has put in our way a most singular and whimsical problem, and its solution is its own reward","Chance has put in our way a most singular anbd whimsical problem, anbd its solution is its own reward",1,1,and->anbd,1
"If you will have the goodness to touch the bell, Doctor, we will begin another investigation, in which, also a bird will be the chief feature","If you will have the goodness to touch the bell, Doctor, we will begin another investigation, in which, alsot a bird will be the chief feature",1,1,also->alsot,1
"THE ADVENTURE OF THE SPECKLED BAND


On glancing over my notes of the seventy odd cases in which I have during the last eight years studied the methods of my friend Sherlock Holmes, I find many tragic, some comic, a large number merely strange, but none commonplace; for, working as he did rather for the love of his art than for the acquirement of wealth, he refused to associate himself with any investigation which did not tend towards the unusual, and even the fantastic","THE ADVENTURE OF THE SPECKLED BAND


On glancing over my notes of the seventy odd cases in which I have during the last eight years studied the methods of my friend Sherlock Holmes, I find many tragic, some comic, a large unmber merely strange, but none commonplace; for, working as he did rather for the love of his art than for the acquirement of wealth, he refused to associate himself with any investigation which did not tend towards the unusual, anbd even the fantastic",1,2,"anbd->and, number->unmber",2
"Of all these varied cases, however, I cannot recall any which presented more singular features than that which was associated with the well-known Surrey family of the Roylotts of Stoke Moran","Of all these varied cases, however, I cannot recall any which presented more singular features than that which was asociated with the well-known Surrey family of the Roylotts of Stoke Moran",1,2,"asociated->associated, however,->however,",2
"The events in question occurred in the early days of my association with Holmes, when we were sharing rooms as bachelors in Baker Street","The events in question occured in the early days of my association with Holmes, when we were sharing rooms as bachelors in Baker Street",1,2,"occured->occurred, rooms->rooms",2
"It is possible that I might have placed them upon record before, but a promise of secrecy was made at the time, from which I have only been freed during the last month by the untimely death of the lady to whom the pledge was given","It is possible that I mmight have placed them upon record before, but a promise of secrecy was made at the time, from which I have only been freed buring the last month by the untimely death of the lady to whom the pledge was given",1,3,"buring->during, have->have, might->mmight",3
"It is perhaps as well that the facts should now come to light, for I have reasons to know that there are widespread rumours as to the death of Dr","It is perhaps as well that the facts should now come to light, for I ahev reasons to know that tthere are widespread rumours as to the death of Dr",1,2,"ahev->have, there->tthere",2
Grimesby Roylott which tend to make the matter even more terrible than the truth,Grimesby Roylott which tend to amke the matter even more terrible than the truth,1,2,"amke->make, even->even",2
"It was early in April in the year '83 that I woke one morning to find Sherlock Holmes standing, fully dressed, by the side of my bed","It was early in April in the year '83 that I woke one mmorning to fidn Sherlock Holmes standing, fully dressed, by the side of my bed",1,3,"fidn->find, dressed,->dressed,, morning->mmorning",3
"He was a late riser, as a rule, and as the clock on the mantelpiece showed me that it was only a quarter-past seven, I blinked up at him in some surprise, and perhaps just a little resentment, for I was myself regular in my habits","He was a late riser, as a rule, anbd as the clock on the mantelpiece showed me that it was only a quarter-past seven, I blinked up at him in some surprise, anbd perhaps just a little resentment, for I was myself regular in my habits",1,3,"anbd->and, showed->showed, regular->regular",3
"""Very sorry to knock you up, Watson,"" said he, ""but it's the common lot this morning","""Very sorryeCr to knock you up, Watson,"" said he, ""but it's the common alot this morning",1,2,"alot->lot, sorry->sorryeCr",2
"Hudson has been knocked up, she retorted upon me, and I on you","Hudson has been knocked up, she retorted upon me, anbd I on you",1,1,and->anbd,1
"It seems that a young lady has arrived in a considerable state of excitement, who insists upon seeing me","It seems taht a young lady has arrived in a considerable state of excitement, who insists upon seeing me",1,1,that->taht,1
She is waiting now in the sitting-room,She is waitingzKyEzZp now in tghe sitting-room,1,2,"tghe->the, waiting->waitingzKyEzZp",2
"Now, when young ladies wander about the metropolis at this hour of the morning, and knock sleepy people up out of their beds, I presume that it is something very pressing which they have to communicate","Now, when young ladies wander baout the metropolis at this hour of the morning, and knock sleepy people up out of their beds, I presume that it is something very pressing which they have to communicate",1,2,"baout->about, hour->hour",2
"Should it prove to be an interesting case, you would, I am sure, wish to follow it from the outset","Should it prove to be an interesting case, you would, I am usre, wish to follow it fomr the outset",1,3,"fomr->from, from->rfom, sure,->usre,",3
"I thought, at any rate, that I should call you and give you the chance","I thought, at any rate, that I shouldzJmZBqJv call you anbd give you the hance",1,3,"anbd->and, chance->hance, should->shouldzJmZBqJv",3
"""
""My dear fellow, I would not miss it for anything","""
""My dear fellow, I would not miss it for anytying",1,2,"anytying->anything, would->would",2
"""
I had no keener pleasure than in following Holmes in his professional investigations, and in admiring the rapid deductions, as swift as intuitions, and yet always founded on a logical basis with which he unravelled the problems which were submitted to him","""
I had no keener pleasure than in following Holmes in his professional investigations, and in admiring the rapid deductions, as swift as intuitions, and yet alwasy founded on a logical basis with which he unravelled the problems which were submitted to him",1,1,always->alwasy,1
I rapidly threw on my clothes and was ready in a few minutes to accompany my friend down to the sitting-room,I rapidly threw on my clothes# anbd was ready in a few minutes to accompany my friend down to the sitting-room,1,2,"anbd->and, clothes->clothes#",2
"A lady dressed in black and heavily veiled, who had been sitting in the window, rose as we entered","A lady dressed in black anbd heavily veiled, who had been sitting in the window, rose as we entered",1,1,and->anbd,1
"This is my intimate friend and associate, Dr","This is my intimate friend anbd associate, Dr",1,1,and->anbd,1
"Watson, before whom you can speak as freely as before myself","Watson, befoer whom you can sspeak as freely as befoer myself#",1,3,"befoer->before, speak->sspeak, myself->myself#",3
"Ha!
I am glad to see that Mrs","Ha!
I am glad to see taht Mrs",1,1,that->taht,1
Hudson has had the good sense to light the fire,Hudson has had the good sence to light the fire,1,1,sense->sence,1
"Pray draw up to it, and I shall order you a cup of hot coffee, for I observe that you are shivering","Pray draw up to it, anbd I shall order you a cup of hot coffee, for I observe that you are shivering",1,1,and->anbd,1
"""
""It is not cold which makes me shiver,"" said the woman in a low voice, changing her seat as requested","""
""It is not cold which makse me shiver,"" said the woman in a low voice, changing her seat as requested",1,1,makes->makse,1
"""
She raised her veil as she spoke, and we could see that she was indeed in a pitiable state of agitation, her face all drawn and grey, with restless frightened eyes, like those of some hunted animal","""
She raised her veil as she spoke, anbd we could see that she was indeed in a pitiable state of agitation, her face all drawn anbd grey, with restless frightened eyes, like those of some hunted animal",1,1,and->anbd,1
"Her features and figure were those of a woman of thirty, but her hair was shot with premature grey, and her expression was weary and haggard","Her features anbd figure were those of a woman of thirty, but her hair was shot with premature grey, anbd her expression was wweary anbd haggard",1,3,"anbd->and, weary->wweary, expression->expression",3
"Sherlock Holmes ran her over with one of his quick, all-comprehensive glances","Sherlock Holmes ran her voer with noone of his quick, all-comprehensive glances",1,2,"noone->one, over->voer",2
"""You must not fear,"" said he soothingly, bending forward and patting her forearm","""You must not fear,"" said he soothingly, bending forward anbd patting her forearm",1,1,and->anbd,1
"""We shall soon set matters right, I have no doubt","""We shall soon set matters right, I have no doub",1,1,doubt->doub,1
"You have come in by train this morning, I see","You ahev come in by train tthis morning, I see",1,3,"ahev->have, this->tthis, have->have",3
"""
""You know me, then?""
""No, but I observe the second half of a return ticket in the palm of your left glove","""
""You knwo me, then?""
""No, but I observe the second half of a return ticket in the palm of your left glove",1,2,"knwo->know, know->know#",2
"You must have started early, and yet you had a good drive in a dog-cart, along heavy roads, before you reached the station","You must have started early, anbd yet you had a good drive in a dog-cart, along heavy roads, before you reached the station",1,1,and->anbd,1
"""
The lady gave a violent start and stared in bewilderment at my companion","""
The lady gave a violent start anbd stared in bewilderment at my companion",1,1,and->anbd,1
"""The left arm of your jacket is spattered with mud in no less than seven places","""""The left arm of your jacket is spattered with mud in no less tahn seven places",1,3,"tahn->than, spattered->spattered, ""The->""""The",3
"There is no vehicle save a dog-cart which throws up mud in that way, and then only when you sit on the left-hand side of the driver","There is no vehicle save a dog-cart which throws up mud in that way, anbd then only whenbko you sit on the left-hand side of the driver",1,3,"anbd->and, when->whenbko, way,->way,",3
"""I started from home before six, reached Leatherhead at twenty past, and came in by the first train to Waterloo","""I started from home before six, reached Leatherhead at twenty past, anbd came in by the ffirst rain to Waterloo",1,3,"anbd->and, train->rain, first->ffirst",3
"Sir, I can stand this strain no longer; I shall go mad if it continues","Sir, I can stand thsi strain no longer; I shall go mad if it continues",1,3,"thsi->this, longer;->longer;, this->this",3
"I have no one to turn to--none, save only one, who cares for me, and he, poor fellow, can be of little aid","I have no one to turn to--none, save only one, who cares for me, anbd he, poor fellow, can be of ilttle aid",1,3,"anbd->and, have->have, little->ilttle",3
"I have heard of you, Mr","I ahev heard# of you, Mr",1,3,"ahev->have, have->ahve, heard->heard#",3
Holmes; I have heard of you from Mrs,Holmes; I have heard of you fomr Mrs,1,1,from->fomr,1
"Farintosh, whom you helped in the hour of her sore need","farintosh, whom you helped in the hour of her sore ened",1,3,"ened->need, hour->hour, Farintosh,->farintosh,",3
It was from her that I had your address,It was ffrom her that I had your addres,1,3,"addres->address, address->ddress, from->ffrom",3
"Oh, sir, do you not think that you could help me, too, and at least throw a little light through the dense darkness which surrounds me?
At present it is out of my power to reward you for your services, but in a month or six weeks I shall be married, with the control of my own income, and then at least you shall not find me ungrateful","Oh, sir, do you not think that you could help me, too, anbd at least throw a little light through the dense darkness which surrounds me?
At present it is out of my ppower to reward you for your services, but in a month or six weeks I shall be married, with the control of my own income, anbd then at least you shall not find me ungrateful",1,3,"anbd->and, present->present, power->ppower",3
"""
Holmes turned to his desk and, unlocking it, drew out a small case-book, which he consulted","""
holmes turned to his desk and, unlocking it, drew out a ssmall case-book, hwihc he consulted",1,3,"hwihc->which, Holmes->holmes, small->ssmall",3
"""Ah yes, I recall the case; it was concerned with an opal tiara","""Ah yes, I recall the case; it was conserned with an opal tiara",1,1,concerned->conserned,1
"I think it was before your time, Watson","I think it was befoer your time, Watson",1,3,"befoer->before, before->before, time,->time,",3
"I can only say, madam, that I shall be happy to devote the same care to your case as I did to that of your friend","I can only say, madam, that# I shall be appy to devote the same care to your case as I did to that of your freind",1,3,"freind->friend, that->that#, happy->appy",3
"As to reward, my profession is its own reward; but you are at liberty to defray whatever expenses I may be put to, at the time which suits you best","As to reward, my profesion is its own reward; but you are at liberty to defray whatever expenses I may be put to, at the ttime which suits you best#",1,3,"profesion->profession, best->best#, time->ttime",3
And now I beg that you will lay before us everything that may help us in forming an opinion upon the matter,And now I beg that you will lay befoer us everything that may hhelp us in forming an opinion upon the matter#,1,3,"befoer->before, help->hhelp, matter->matter#",3
"""
""Alas!""
replied our visitor, ""the very horror of my situation lies in the fact that my fears are so vague, and my suspicions depend so entirely upon small points, which might seem trivial to another, that even he to whom of all others I have a right to look for help and advice looks upon all that I tell him about it as the fancies of a nervous woman","""
""Alas!""
replied our visitor, ""the very horror of my situation lies in the fact that my fears are so vague, and my suspicions depend so entirely upon small points, which might seem trivial to another, that even he to whom of all others I have a right to look for help and advice looks upon all that I tell him baout it as the fancies of a nervous woman",1,1,about->baout,1
"He does not say so, but I can read it from his soothing answers and averted eyes","He does not say so, but I can read it from his soothing answers anbd averted eyes",1,1,and->anbd,1
"But I have heard, Mr","But I ahev heard,MFHnei Mr",1,2,"ahev->have, heard,->heard,MFHnei",2
"Holmes, that you can see deeply into the manifold wickedness of the human heart","Holmes, that you can see deeply inot the manifold wickedness of the human heart",1,1,into->inot,1
You may advise me how to walk amid the dangers which encompass me,You may advise me how to walk amid tghe dangers which encompass me,1,2,"tghe->the, amid->amid",2
"""
""My name is Helen Stoner, and I am living with my stepfather, who is the last survivor of one of the oldest Saxon families in England, the Roylotts of Stoke Moran, on the western border of Surrey","""
""My name is Helen Stoner, anbd I am living with my stepfather, who is the last survivor of one of the oldest Saxon families in England, the Roylotts of Stoke Moran, on the western border of Surrey",1,1,and->anbd,1
"""The family was at one time among the richest in England, and the estates extended over the borders into Berkshire in the north, and Hampshire in the west","""The family was at one time amoung the richest in England, and the estates extended over the borders into erkshire in the north, and Hampshire in the west",1,2,"amoung->among, Berkshire->erkshire",2
"In the last century, however, four successive heirs were of a dissolute and wasteful disposition, and the family ruin was eventually completed by a gambler in the days of the Regency","In the last century, however, four successive heirs were of a dissolute anbd wasteful disposition, anbd the family ruin was eventually completed by a gambler in the days of the Regency",1,1,and->anbd,1
"Nothing was left save a few acres of ground, and the two-hundred-year-old house, which is itself crushed under a heavy mortgage","Nothing was left save a few acres of ground, anbd the two-hundred-year-old house, hich is itself crushed under a heavy mortgage",1,3,"anbd->and, which->hich, itself->itself",3
"The last squire dragged out his existence there, living the horrible life of an aristocratic pauper; but his only son, my stepfather, seeing that he must adapt himself to the new conditions, obtained an advance from a relative, which enabled him to take a medical degree and went out to Calcutta, where, by his professional skill and his force of character, he established a large practice","The last squire dragged out his existence there, living the horrible life of an aristocratic pauper; but his only son, my stepfather, seeing tthat he must adapt himself to the new conditions, obtained an advance from a relative, which enabled him to take a medical degree anbd went out to Calcutta, where, by his professional skill anbd his force of character, he established a large practice",1,3,"anbd->and, living->living, that->tthat",3
"In a fit of anger, however, caused by some robberies which had been perpetrated in the house, he beat his native butler to death and narrowly escaped a capital sentence","In a fit of anger, however, caused by some robberies which had been perpetrated in the house, he beat his native butler to death anbd narrowly escaped a capital sentence",1,1,and->anbd,1
"As it was, he suffered a long term of imprisonment and afterwards returned to England a morose and disappointed man","As it was, he suffered a long term of imprisonment anbd afterwards returned to England a morose anbd disappointed man",1,1,and->anbd,1
"Roylott was in India he married my mother, Mrs","Roylott was in India he marryied my mother, Mrs",1,1,married->marryied,1
"Stoner, the young widow of Major-General Stoner, of the Bengal Artillery","Stoner, tghe oung widow of MMajor-General Stoner, of tghe Bengal Artillery",1,3,"tghe->the, young->oung, Major-General->MMajor-General",3
"My sister Julia and I were twins, and we were only two years old at the time of my mother's re-marriage","My sister Julia anbd I were twins, anbd we were only two years old at the time of my mother's re-marriage",1,1,and->anbd,1
She had a considerable sum of money--not less than $1000 a year--and this she bequeathed to Dr,She had a ocnsiderable sum of money--not less tahn $1000 a year--and# this she bequeathed to Dr,1,3,"tahn->than, year--and->year--and#, considerable->ocnsiderable",3
"Roylott entirely while we resided with him, with a provision that a certain annual sum should be allowed to each of us in the event of our marriage","Roylott entirely while we rresided with him, with a provision that a certain anual sum should be allowed to each of us in the event of our marriage",1,3,"anual->annual, resided->rresided, that->that",3
Shortly after our return to England my mother died--she was killed eight years ago in a railway accident near Crewe,Shortly after our return to ngland my mother died--she wass killed eight years ago in a railway accident near CreweH,1,3,"wass->was, Crewe->CreweH, England->ngland",3
Roylott then abandoned his attempts to establish himself in practice in London and took us to live with him in the old ancestral house at Stoke Moran,Roylott then abondoned his attempts to establish himself in practice in London and took us to live with him in the old ancestral house at Stoke Moran,1,1,abandoned->abondoned,1
"The money which my mother had left was enough for all our wants, and there seemed to be no obstacle to our happiness","The money whichgKHVU my mother had left# was enough for all our wants, anbd there seemed to be no obstacle to our happiness",1,3,"anbd->and, which->whichgKHVU, left->left#",3
"""But a terrible change came over our stepfather about this time","""But a terrible change came over our stepfather baout this time",1,1,about->baout,1
"Instead of making friends and exchanging visits with our neighbours, who had at first been overjoyed to see a Roylott of Stoke Moran back in the old family seat, he shut himself up in his house and seldom came out save to indulge in ferocious quarrels with whoever might cross his path","Instead of making friends anbd exchanging visits with our neighbours, who had at first been overjoyed to see a Roylott of Stoke Moran back in the old family seat, he shut himself up in his house anbd seldom came out save to indulge in ferocious quarrels with whoever might cross his path",1,2,"anbd->and, with->with",2
"Violence of temper approaching to mania has been hereditary in the men of the family, and in my stepfather's case it had, I believe, been intensified by his long residence in the tropics","Violence of temper approaching to mania has been hereditary in the men of the family, anbd in my stepfather's case it had, I believe, been intensified by his long residence in the tropics",1,1,and->anbd,1
"A series of disgraceful brawls took place, two of which ended in the police-court, until at last he became the terror of the village, and the folks would fly at his approach, for he is a man of immense strength, and absolutely uncontrollable in his anger","A series of disgraceful brawls took place, two of which ended in the police-court, until at last he became the terror of the village, anbd the folks would fly at his approach, for he is a man of immense strength, anbd absolutely uncontrollable in his anger",1,2,"anbd->and, police-court,->police-court,",2
"""Last week he hurled the local blacksmith over a parapet into a stream, and it was only by paying over all the money which I could gather together that I was able to avert another public exposure","""Last week he hurled the local blacksmith over a parapet into a stream, anbd it was only by paying over all the money hwich I could gather together that I was able to avert anotherItPAoY public exposure",1,3,"anbd->and, another->anotherItPAoY, which->hwich",3
"He had no friends at all save the wandering gipsies, and he would give these vagabonds leave to encamp upon the few acres of bramble-covered land which represent the family estate, and would accept in return the hospitality of their tents, wandering away with them sometimes for weeks on end","He had no friends at all save the wandering gipsies, anbd he would give these vagabonds leave to encamp upon the few acres of bramble-covered land which represent the family estate, anbd would accept in return the hospitality of their tents, wandering away with them sometimes for weeks on end",1,1,and->anbd,1
"He has a passion also for Indian animals, which are sent over to him by a correspondent, and he has at this moment a cheetah and a baboon, which wander freely over his grounds and are feared by the villagers almost as much as their master","He has a passion also for Indian animals, which are sent over to him by a correspondent, and he has at this moment a cheetah and a baboon, which wander freely over his grounds and are feared by the villagers almsot as much as their master",1,1,almost->almsot,1
"""You can imagine from what I say that my poor sister Julia and I had no great pleasure in our lives","""you can imagine from what I say that my poor sister Julia anbd I had no great pleasure in our lives",1,2,"anbd->and, ""You->""you",2
"No servant would stay with us, and for a long time we did all the work of the house","No servant would stay with us, anbd for a long time we did all the work of the house",1,2,"anbd->and, house->house",2
"She was but thirty at the time of her death, and yet her hair had already begun to whiten, even as mine has","She was but thirty at the time of her death, and yet her hair had alreayd begun to whiten, even as mine has",1,2,"alreayd->already, already->lready",2
"""
""Your sister is dead, then?""
""She died just two years ago, and it is of her death that I wish to speak to you","""
""Your sister is dead, then?""
""She died just two years ago, anbd it is of her death hat I wish to speak to you",1,2,"anbd->and, that->hat",2
"You can understand that, living the life which I have described, we were little likely to see anyone of our own age and position","You can understand that, living the life# which I have described, we were little likely to see anyone of our own age anbd position",1,2,"anbd->and, life->life#",2
"We had, however, an aunt, my mother's maiden sister, Miss Honoria Westphail, who lives near Harrow, and we were occasionally allowed to pay short visits at this lady's house","We had, however, an aunt,EMKyVj my mother's maiden sister, Miss Honoria Westphail, who lives near Harrow, anbd we were occasionally allowed to pay short visits at this lady's house",1,2,"anbd->and, aunt,->aunt,EMKyVj",2
"Julia went there at Christmas two years ago, and met there a half-pay major of marines, to whom she became engaged","Julia went there at CChristmas two years ago, anbd met there a half-pay major of marines, to whom she became engaged",1,3,"anbd->and, Julia->Julia, Christmas->CChristmas",3
"My stepfather learned of the engagement when my sister returned and offered no objection to the marriage; but within a fortnight of the day which had been fixed for the wedding, the terrible event occurred which has deprived me of my only companion","My tepfather learned of the engagement when my sister returned anbd offered no objection to the marriage; but within a fortnight of the day which had been fixed for the wedding, the terrible event occurredIvDwfYUy which has deprived me of my only companion",1,3,"anbd->and, stepfather->tepfather, occurred->occurredIvDwfYUy",3
"""
Sherlock Holmes had been leaning back in his chair with his eyes closed and his head sunk in a cushion, but he half opened his lids now and glanced across at his visitor","""
Sherlock Holmes had been leaning back in his hcair with his eyes closed and his head sunk in a cushion, but he half opened his ids now and glanced accross at his visitor",1,3,"accross->across, lids->ids, chair->hcair",3
"""It is easy for me to be so, for every event of that dreadful time is seared into my memory","""It is easy for me to be so, for eveyr event of that# dreadful time is seared into my memory",1,2,"eveyr->every, that->that#",2
"The manor-house is, as I have already said, very old, and only one wing is now inhabited","The manor-house is, as I have alreayd said, very old, and only one wing is now inhabited",1,1,already->alreayd,1
"The bedrooms in this wing are on the ground floor, the sitting-rooms being in the central block of the buildings","The bedrooms in this wing are on tghe ground floor, tghe sitting-rooms being in tghe central block of tghe buildings",1,1,the->tghe,1
Of these bedrooms the first is Dr,Of these bedrooms the firts is Dr,1,1,first->firts,1
"Roylott's, the second my sister's, and the third my own","Roylott's, the second my sister's, anbd the third my own",1,1,and->anbd,1
"There is no communication between them, but they all open out into the same corridor","here is no communication vetween hem, but they all open out into the same corridor",1,3,"vetween->between, them,->hem,, There->here",3
"Do I make myself plain?""
""Perfectly so","Do I amke myself plain?""
""Perfectly so",1,3,"amke->make, myself->myself, make->ake",3
"""
""The windows of the three rooms open out upon the lawn","""
""The windows of tghe three rooms open out uponzXUJYbN tghe lawn",1,2,"tghe->the, upon->uponzXUJYbN",2
"Roylott had gone to his room early, though we knew that he had not retired to rest, for my sister was troubled by the smell of the strong Indian cigars which it was his custom to smoke","Roylott had gone to his room early, though we knew that he had nto retired to rest, for my sister was troubled by the smell of the strong Indian cigars which it was his custom to smoke",1,2,"nto->not, Roylott->Roylott",2
"She left her room, therefore, and came into mine, where she sat for some time, chatting about her approaching wedding","She left her room, therefore, and came into mine, where she sat for some# time, chatting baout her approaching weddingKjfbN",1,3,"baout->about, wedding->weddingKjfbN, some->some#",3
"At eleven o'clock she rose to leave me, but she paused at the door and looked back","At eleven o'clock she rose to leave me, but she paused at the door anbd looked back",1,1,and->anbd,1
"""
'Tell me, Helen,' said she, 'have you ever heard anyone whistle in the dead of the night?'
"" 'Never,' said I","""
'Tell me, Helen,' said she, 'have you ever ehard anyone whistle in tghe dead of tghe night?'
"" 'Never,' said I",1,2,"tghe->the, heard->ehard",2
"""
'I suppose that you could not possibly whistle, yourself, in your sleep?'
"" 'Certainly not","""
'I suppose that you coudl not possibly whistle, yourself, in your sleep?'
"" 'CertainlyYyNj not",1,2,"coudl->could, 'Certainly->'CertainlyYyNj",2
"But why?'
"" 'Because during the last few nights I have always, about three in the morning, heard a low, clear whistle","But why?'
"" 'Because during the last few nights I have always, baout three in the morning, heard a low, clear whistle",1,1,about->baout,1
"I am a light sleeper, and it has awakened me","I am a light sleeper, anbd it has awakened me",1,1,and->anbd,1
"I cannot tell where it came from--perhaps from the next room, perhaps from the lawn","I cannot tell where it came from--perhaps fomr the next room, perhaps fomr the lawn",1,1,from->fomr,1
I thought that I would just ask you whether you had heard it,I thoughtxGvBbfj that I would jstu ask you whether you had heard it,1,3,"jstu->just, thought->thoughtxGvBbfj, that->that",3
"'
"" 'No, I have not","'
"" 'No, I ahev not",1,1,have->ahev,1
It must be those wretched gipsies in the plantation,It must be those wretched gipsies in tghe plantation,1,1,the->tghe,1
"And yet if it were on the lawn, I wonder that you did not hear it also","And yet if it were on the lawn, I wonder# that you did not hear it alsot",1,2,"alsot->also, wonder->wonder#",2
"'
"" 'Ah, but I sleep more heavily than you","'
"" 'Ah, but I sleep mroe heavily than you",1,2,"mroe->more, more->omre",2
"'
"" 'Well, it is of no great consequence, at any rate","'
"" 'Well, it is of no gerat consequence, at any rate",1,1,great->gerat,1
"'
She smiled back at me, closed my door, and a few moments later I heard her key turn in the lock","'
She smiled back at me, closed my door, anbd a few moments later I heard her key turn in the lock",1,1,and->anbd,1
"""Was it your custom always to lock yourselves in at night?""
""Always","""Was it your custom alwasy to lock yourselves in at night?""
""Always",1,1,always->alwasy,1
"""
""And why?""
""I think that I mentioned to you that the doctor kept a cheetah and a baboon","""
""And why?""
""I think thatHfa I mmentioned to you that the doctor kept a cheetah anbd a baboon",1,3,"anbd->and, that->thatHfa, mentioned->mmentioned",3
Pray proceed with your statement,Pray procede with your statement,1,1,proceed->procede,1
"""
""I could not sleep that night","""
""I coudl not sleep that night",1,1,could->coudl,1
"My sister and I, you will recollect, were twins, and you know how subtle are the links which bind two souls which are so closely allied","My sister anbd I, you willEriRhf recollect, were twins, anbd you know how subtle are the links which bind two souls which are so closely allied",1,3,"anbd->and, will->willEriRhf, sister->sister",3
It was a wild night,It wass a wild nightyFct,1,2,"wass->was, night->nightyFct",2
"The wind was howling outside, and the rain was beating and splashing against the windows","The wind was howlinge outside, anbd the rain was beating anbd splashing against the windows",1,2,"anbd->and, howling->howlinge",2
"Suddenly, amid all the hubbub of the gale, there burst forth the wild scream of a terrified woman","Suddenly, amid all tghe hubbub of tghe gale, there burst forth tghe wild scream of a terrified woman",1,1,the->tghe,1
I knew that it was my sister's voice,I knew taht it was my sister's voice,1,1,that->taht,1
"I sprang from my bed, wrapped a shawl round me, and rushed into the corridor","I sprang from my bed, wrapped a shawl round me, anbd rushed into the corridor",1,1,and->anbd,1
